,body
170689,"{'label': 'not sexist', 'score': 0.9991233944892883}"
120410,"{'label': 'not sexist', 'score': 0.9985753297805786}"
152369,"{'label': 'not sexist', 'score': 0.9993293285369873}"
149961,"{'label': 'not sexist', 'score': 0.9993705153465271}"
25356,"{'label': 'not sexist', 'score': 0.9990925788879395}"
40223,"{'label': 'not sexist', 'score': 0.9989425539970398}"
214088,"{'label': 'not sexist', 'score': 0.9995421171188354}"
148625,"{'label': 'not sexist', 'score': 0.9987608194351196}"
308790,"{'label': 'not sexist', 'score': 0.9993910789489746}"
76466,"{'label': 'not sexist', 'score': 0.9980779886245728}"
145108,"{'label': 'not sexist', 'score': 0.9993564486503601}"
75084,"{'label': 'not sexist', 'score': 0.9993900060653687}"
102676,"{'label': 'not sexist', 'score': 0.9988530874252319}"
242484,"{'label': 'not sexist', 'score': 0.9984831213951111}"
270878,"{'label': 'not sexist', 'score': 0.9994710087776184}"
81745,"{'label': 'not sexist', 'score': 0.9978348612785339}"
221099,"{'label': 'not sexist', 'score': 0.9984186887741089}"
358017,"{'label': 'not sexist', 'score': 0.9988899827003479}"
138945,"{'label': 'not sexist', 'score': 0.9979143738746643}"
268909,"{'label': 'not sexist', 'score': 0.9991293549537659}"
178125,"{'label': 'not sexist', 'score': 0.9993201494216919}"
149460,"{'label': 'not sexist', 'score': 0.9988287091255188}"
243875,"{'label': 'not sexist', 'score': 0.9987928867340088}"
319382,"{'label': 'not sexist', 'score': 0.9993147850036621}"
259093,"{'label': 'not sexist', 'score': 0.9991564750671387}"
121957,"{'label': 'not sexist', 'score': 0.9991660118103027}"
135661,"{'label': 'not sexist', 'score': 0.9981210827827454}"
298081,"{'label': 'not sexist', 'score': 0.9993461966514587}"
133525,"{'label': 'not sexist', 'score': 0.9994016885757446}"
199720,"{'label': 'not sexist', 'score': 0.9992213249206543}"
98301,"{'label': 'not sexist', 'score': 0.9968913197517395}"
321940,"{'label': 'not sexist', 'score': 0.9991017580032349}"
9939,"{'label': 'not sexist', 'score': 0.9991679191589355}"
187457,"{'label': 'not sexist', 'score': 0.9979707598686218}"
164247,"{'label': 'not sexist', 'score': 0.9991428852081299}"
107937,"{'label': 'not sexist', 'score': 0.9988077878952026}"
317286,"{'label': 'not sexist', 'score': 0.9995417594909668}"
354107,"{'label': 'not sexist', 'score': 0.9992380142211914}"
259904,"{'label': 'not sexist', 'score': 0.9991517066955566}"
43909,"{'label': 'not sexist', 'score': 0.9992951154708862}"
206247,"{'label': 'not sexist', 'score': 0.9991542100906372}"
112082,"{'label': 'not sexist', 'score': 0.9989427924156189}"
200407,"{'label': 'not sexist', 'score': 0.9992194175720215}"
139043,"{'label': 'not sexist', 'score': 0.9985523819923401}"
156639,"{'label': 'not sexist', 'score': 0.9986365437507629}"
283870,"{'label': 'not sexist', 'score': 0.9993859529495239}"
62056,"{'label': 'not sexist', 'score': 0.9990062117576599}"
326774,"{'label': 'not sexist', 'score': 0.998721182346344}"
203277,"{'label': 'not sexist', 'score': 0.9993999004364014}"
254032,"{'label': 'not sexist', 'score': 0.9990019202232361}"
123816,"{'label': 'not sexist', 'score': 0.9990622401237488}"
46075,"{'label': 'not sexist', 'score': 0.9993038177490234}"
244028,"{'label': 'not sexist', 'score': 0.9982501864433289}"
183700,"{'label': 'not sexist', 'score': 0.9992908239364624}"
70065,"{'label': 'not sexist', 'score': 0.9986733198165894}"
353982,"{'label': 'not sexist', 'score': 0.9991624355316162}"
29032,"{'label': 'not sexist', 'score': 0.9984789490699768}"
162440,"{'label': 'not sexist', 'score': 0.9987257122993469}"
5913,"{'label': 'sexist', 'score': 0.8325258493423462}"
187302,"{'label': 'not sexist', 'score': 0.996381402015686}"
62635,"{'label': 'not sexist', 'score': 0.9989928603172302}"
43195,"{'label': 'not sexist', 'score': 0.9992548823356628}"
50964,"{'label': 'not sexist', 'score': 0.9990381002426147}"
1378,"{'label': 'not sexist', 'score': 0.9990988969802856}"
274294,"{'label': 'not sexist', 'score': 0.9992944002151489}"
42161,"{'label': 'not sexist', 'score': 0.9991186261177063}"
245419,"{'label': 'not sexist', 'score': 0.9989858269691467}"
241603,"{'label': 'not sexist', 'score': 0.9985698461532593}"
4650,"{'label': 'not sexist', 'score': 0.9983173608779907}"
29322,"{'label': 'not sexist', 'score': 0.9994706511497498}"
143720,"{'label': 'not sexist', 'score': 0.9990490078926086}"
270670,"{'label': 'not sexist', 'score': 0.9992208480834961}"
4853,"{'label': 'not sexist', 'score': 0.9990509152412415}"
176762,"{'label': 'not sexist', 'score': 0.9980493783950806}"
14461,"{'label': 'not sexist', 'score': 0.9995991587638855}"
359640,"{'label': 'not sexist', 'score': 0.9988676309585571}"
309706,"{'label': 'not sexist', 'score': 0.9990543723106384}"
209559,"{'label': 'not sexist', 'score': 0.9985874891281128}"
64304,"{'label': 'not sexist', 'score': 0.9993197917938232}"
326773,"{'label': 'not sexist', 'score': 0.9989884495735168}"
120098,"{'label': 'not sexist', 'score': 0.998637855052948}"
142102,"{'label': 'not sexist', 'score': 0.999045193195343}"
89254,"{'label': 'not sexist', 'score': 0.9992128610610962}"
332923,"{'label': 'not sexist', 'score': 0.9991269707679749}"
37728,"{'label': 'not sexist', 'score': 0.9985417127609253}"
330099,"{'label': 'not sexist', 'score': 0.9990437626838684}"
72887,"{'label': 'not sexist', 'score': 0.9991760849952698}"
171453,"{'label': 'not sexist', 'score': 0.9994059801101685}"
96589,"{'label': 'not sexist', 'score': 0.9983693957328796}"
308543,"{'label': 'not sexist', 'score': 0.9986652135848999}"
194969,"{'label': 'not sexist', 'score': 0.9989521503448486}"
181334,"{'label': 'not sexist', 'score': 0.9979335069656372}"
293315,"{'label': 'not sexist', 'score': 0.9995017051696777}"
58389,"{'label': 'not sexist', 'score': 0.999407172203064}"
175582,"{'label': 'not sexist', 'score': 0.9990977048873901}"
80696,"{'label': 'not sexist', 'score': 0.9989961981773376}"
303824,"{'label': 'not sexist', 'score': 0.9992521405220032}"
28177,"{'label': 'not sexist', 'score': 0.9994593262672424}"
38572,"{'label': 'not sexist', 'score': 0.9993473887443542}"
147996,"{'label': 'not sexist', 'score': 0.9988316893577576}"
282348,"{'label': 'not sexist', 'score': 0.9982032775878906}"
134225,"{'label': 'not sexist', 'score': 0.9991276860237122}"
228935,"{'label': 'not sexist', 'score': 0.9990136623382568}"
209328,"{'label': 'not sexist', 'score': 0.99899822473526}"
149670,"{'label': 'not sexist', 'score': 0.9987280964851379}"
185157,"{'label': 'not sexist', 'score': 0.9992382526397705}"
181885,"{'label': 'not sexist', 'score': 0.9984803795814514}"
32301,"{'label': 'not sexist', 'score': 0.9983946681022644}"
107717,"{'label': 'not sexist', 'score': 0.9990166425704956}"
126981,"{'label': 'not sexist', 'score': 0.9989055395126343}"
298378,"{'label': 'not sexist', 'score': 0.9991432428359985}"
286880,"{'label': 'not sexist', 'score': 0.9994891881942749}"
58620,"{'label': 'not sexist', 'score': 0.9993636012077332}"
240329,"{'label': 'not sexist', 'score': 0.999091386795044}"
81967,"{'label': 'not sexist', 'score': 0.9988107681274414}"
69640,"{'label': 'not sexist', 'score': 0.9988378882408142}"
239885,"{'label': 'not sexist', 'score': 0.9994288086891174}"
12766,"{'label': 'not sexist', 'score': 0.9986690282821655}"
272157,"{'label': 'not sexist', 'score': 0.9994230270385742}"
147468,"{'label': 'not sexist', 'score': 0.9990442395210266}"
330809,"{'label': 'not sexist', 'score': 0.9989950060844421}"
354010,"{'label': 'not sexist', 'score': 0.9983623623847961}"
103362,"{'label': 'not sexist', 'score': 0.9983540773391724}"
71207,"{'label': 'not sexist', 'score': 0.9988092184066772}"
290558,"{'label': 'not sexist', 'score': 0.998360812664032}"
122905,"{'label': 'not sexist', 'score': 0.9993829727172852}"
308408,"{'label': 'not sexist', 'score': 0.999091386795044}"
279272,"{'label': 'not sexist', 'score': 0.9995293617248535}"
190359,"{'label': 'not sexist', 'score': 0.9991642236709595}"
226948,"{'label': 'not sexist', 'score': 0.9983617663383484}"
212237,"{'label': 'not sexist', 'score': 0.9979172348976135}"
57327,"{'label': 'not sexist', 'score': 0.9987719655036926}"
344580,"{'label': 'not sexist', 'score': 0.9996151924133301}"
120225,"{'label': 'not sexist', 'score': 0.9985308647155762}"
299274,"{'label': 'not sexist', 'score': 0.9994211196899414}"
39715,"{'label': 'not sexist', 'score': 0.9991061091423035}"
44612,"{'label': 'not sexist', 'score': 0.9961974620819092}"
211617,"{'label': 'not sexist', 'score': 0.9989732503890991}"
28389,"{'label': 'not sexist', 'score': 0.9989773035049438}"
323499,"{'label': 'not sexist', 'score': 0.9996441602706909}"
166360,"{'label': 'not sexist', 'score': 0.9985748529434204}"
243757,"{'label': 'not sexist', 'score': 0.9992440938949585}"
54674,"{'label': 'not sexist', 'score': 0.9990793466567993}"
358629,"{'label': 'not sexist', 'score': 0.9989553689956665}"
122903,"{'label': 'not sexist', 'score': 0.9990692734718323}"
306698,"{'label': 'not sexist', 'score': 0.9992522597312927}"
306894,"{'label': 'not sexist', 'score': 0.9995092153549194}"
313687,"{'label': 'not sexist', 'score': 0.9988351464271545}"
22308,"{'label': 'not sexist', 'score': 0.9996131062507629}"
134470,"{'label': 'not sexist', 'score': 0.9985769987106323}"
165236,"{'label': 'not sexist', 'score': 0.9979113936424255}"
178343,"{'label': 'not sexist', 'score': 0.9960848093032837}"
151457,"{'label': 'not sexist', 'score': 0.9995003938674927}"
80768,"{'label': 'not sexist', 'score': 0.9993488192558289}"
198226,"{'label': 'not sexist', 'score': 0.9991045594215393}"
132971,"{'label': 'not sexist', 'score': 0.9975042939186096}"
281929,"{'label': 'not sexist', 'score': 0.9990288019180298}"
325535,"{'label': 'not sexist', 'score': 0.9992332458496094}"
130912,"{'label': 'not sexist', 'score': 0.9986318945884705}"
97083,"{'label': 'sexist', 'score': 0.9967527985572815}"
46257,"{'label': 'not sexist', 'score': 0.999403715133667}"
227894,"{'label': 'not sexist', 'score': 0.9986345171928406}"
182307,"{'label': 'not sexist', 'score': 0.9994582533836365}"
349969,"{'label': 'not sexist', 'score': 0.9986010193824768}"
40589,"{'label': 'not sexist', 'score': 0.9993563294410706}"
239496,"{'label': 'not sexist', 'score': 0.9989892840385437}"
110691,"{'label': 'not sexist', 'score': 0.9989239573478699}"
190905,"{'label': 'not sexist', 'score': 0.9993257522583008}"
130056,"{'label': 'not sexist', 'score': 0.998809814453125}"
132042,"{'label': 'not sexist', 'score': 0.9992902278900146}"
88372,"{'label': 'not sexist', 'score': 0.9992421865463257}"
165830,"{'label': 'not sexist', 'score': 0.999194324016571}"
211544,"{'label': 'not sexist', 'score': 0.9993818998336792}"
89394,"{'label': 'not sexist', 'score': 0.9989838004112244}"
986,"{'label': 'not sexist', 'score': 0.9976770281791687}"
285723,
322805,"{'label': 'not sexist', 'score': 0.9990911483764648}"
115859,"{'label': 'not sexist', 'score': 0.9925727844238281}"
348516,"{'label': 'not sexist', 'score': 0.9991734623908997}"
52119,
89240,"{'label': 'not sexist', 'score': 0.9991003274917603}"
343895,"{'label': 'not sexist', 'score': 0.9989870190620422}"
308578,"{'label': 'not sexist', 'score': 0.9991636276245117}"
64679,"{'label': 'not sexist', 'score': 0.9982525706291199}"
258703,"{'label': 'not sexist', 'score': 0.9987261891365051}"
259661,"{'label': 'not sexist', 'score': 0.9986458420753479}"
341365,"{'label': 'not sexist', 'score': 0.9992889165878296}"
220488,"{'label': 'not sexist', 'score': 0.9995311498641968}"
228131,
26587,"{'label': 'not sexist', 'score': 0.9993734955787659}"
179566,"{'label': 'not sexist', 'score': 0.9985338449478149}"
75805,"{'label': 'not sexist', 'score': 0.9983640313148499}"
19851,"{'label': 'not sexist', 'score': 0.9990584254264832}"
102098,"{'label': 'not sexist', 'score': 0.9992560744285583}"
70815,"{'label': 'not sexist', 'score': 0.9973844885826111}"
7149,"{'label': 'not sexist', 'score': 0.998826801776886}"
262790,"{'label': 'not sexist', 'score': 0.9986420273780823}"
78091,"{'label': 'not sexist', 'score': 0.7590855956077576}"
104879,"{'label': 'not sexist', 'score': 0.9987817406654358}"
307884,"{'label': 'not sexist', 'score': 0.9854452013969421}"
153489,"{'label': 'not sexist', 'score': 0.9994565844535828}"
332628,"{'label': 'not sexist', 'score': 0.998461127281189}"
68338,"{'label': 'not sexist', 'score': 0.9985979199409485}"
315645,"{'label': 'not sexist', 'score': 0.9973363280296326}"
34199,"{'label': 'not sexist', 'score': 0.9979797005653381}"
25444,"{'label': 'not sexist', 'score': 0.9983805418014526}"
341546,"{'label': 'not sexist', 'score': 0.99919193983078}"
78720,"{'label': 'sexist', 'score': 0.9827325344085693}"
273575,"{'label': 'not sexist', 'score': 0.9982097148895264}"
20758,"{'label': 'sexist', 'score': 0.9986575841903687}"
253360,"{'label': 'not sexist', 'score': 0.9994519352912903}"
83976,"{'label': 'not sexist', 'score': 0.998838484287262}"
103638,"{'label': 'not sexist', 'score': 0.999261200428009}"
47577,"{'label': 'not sexist', 'score': 0.9995298385620117}"
20877,"{'label': 'not sexist', 'score': 0.9992850422859192}"
359885,"{'label': 'not sexist', 'score': 0.9991326928138733}"
313002,"{'label': 'not sexist', 'score': 0.9987261891365051}"
15606,"{'label': 'not sexist', 'score': 0.9990140199661255}"
121649,"{'label': 'not sexist', 'score': 0.9992569088935852}"
85985,"{'label': 'not sexist', 'score': 0.9991244673728943}"
238474,"{'label': 'not sexist', 'score': 0.9993234872817993}"
331542,"{'label': 'not sexist', 'score': 0.999291181564331}"
26570,"{'label': 'not sexist', 'score': 0.9989091157913208}"
10742,"{'label': 'not sexist', 'score': 0.9982936978340149}"
303166,"{'label': 'not sexist', 'score': 0.9993796348571777}"
65972,"{'label': 'not sexist', 'score': 0.9991334080696106}"
292414,"{'label': 'not sexist', 'score': 0.9991334080696106}"
50615,"{'label': 'not sexist', 'score': 0.9993508458137512}"
56308,"{'label': 'not sexist', 'score': 0.9989458918571472}"
100214,"{'label': 'not sexist', 'score': 0.9985218644142151}"
310454,"{'label': 'not sexist', 'score': 0.995772659778595}"
311612,"{'label': 'not sexist', 'score': 0.9992308616638184}"
246568,"{'label': 'not sexist', 'score': 0.9989896416664124}"
211206,"{'label': 'not sexist', 'score': 0.9980300068855286}"
271063,"{'label': 'not sexist', 'score': 0.9986720085144043}"
267139,"{'label': 'not sexist', 'score': 0.999213695526123}"
162452,"{'label': 'not sexist', 'score': 0.9991545677185059}"
208086,"{'label': 'not sexist', 'score': 0.9984787106513977}"
78967,"{'label': 'not sexist', 'score': 0.9993699193000793}"
348450,"{'label': 'not sexist', 'score': 0.9978894591331482}"
151300,"{'label': 'not sexist', 'score': 0.9989703893661499}"
92093,"{'label': 'not sexist', 'score': 0.9984729886054993}"
267035,"{'label': 'not sexist', 'score': 0.9991710186004639}"
358323,"{'label': 'not sexist', 'score': 0.9987764954566956}"
252387,"{'label': 'not sexist', 'score': 0.998963475227356}"
98720,"{'label': 'not sexist', 'score': 0.9986264705657959}"
256190,"{'label': 'not sexist', 'score': 0.9985519051551819}"
31352,"{'label': 'not sexist', 'score': 0.997092604637146}"
10891,"{'label': 'not sexist', 'score': 0.9984136819839478}"
108006,"{'label': 'not sexist', 'score': 0.9753727912902832}"
4380,"{'label': 'not sexist', 'score': 0.9994691014289856}"
182018,"{'label': 'not sexist', 'score': 0.9988353848457336}"
176030,"{'label': 'not sexist', 'score': 0.9991666078567505}"
289965,"{'label': 'not sexist', 'score': 0.9989694356918335}"
162140,"{'label': 'not sexist', 'score': 0.9990562796592712}"
263913,"{'label': 'not sexist', 'score': 0.9989663362503052}"
253743,"{'label': 'not sexist', 'score': 0.9988440275192261}"
58878,"{'label': 'not sexist', 'score': 0.9991760849952698}"
265490,"{'label': 'not sexist', 'score': 0.9655020236968994}"
199847,"{'label': 'not sexist', 'score': 0.9992897510528564}"
197405,"{'label': 'not sexist', 'score': 0.9991931319236755}"
236516,"{'label': 'not sexist', 'score': 0.998319685459137}"
82470,"{'label': 'not sexist', 'score': 0.9983519315719604}"
188182,"{'label': 'not sexist', 'score': 0.9983850717544556}"
163572,"{'label': 'not sexist', 'score': 0.9988043308258057}"
176279,"{'label': 'not sexist', 'score': 0.9994332194328308}"
284692,"{'label': 'not sexist', 'score': 0.9991230368614197}"
350867,"{'label': 'not sexist', 'score': 0.9970303773880005}"
214951,"{'label': 'not sexist', 'score': 0.9307317733764648}"
194713,"{'label': 'not sexist', 'score': 0.9991347193717957}"
39135,"{'label': 'not sexist', 'score': 0.9991717338562012}"
190180,"{'label': 'not sexist', 'score': 0.9986807703971863}"
33191,"{'label': 'not sexist', 'score': 0.9991238713264465}"
102837,"{'label': 'not sexist', 'score': 0.9992722868919373}"
26897,"{'label': 'not sexist', 'score': 0.9991795420646667}"
89351,"{'label': 'not sexist', 'score': 0.9987534284591675}"
250967,"{'label': 'not sexist', 'score': 0.9987660646438599}"
102117,"{'label': 'not sexist', 'score': 0.9978852868080139}"
136714,"{'label': 'not sexist', 'score': 0.998562753200531}"
258235,"{'label': 'not sexist', 'score': 0.9987955093383789}"
74141,"{'label': 'not sexist', 'score': 0.9984455704689026}"
336253,"{'label': 'not sexist', 'score': 0.9993919134140015}"
33134,"{'label': 'not sexist', 'score': 0.9990862607955933}"
27110,"{'label': 'not sexist', 'score': 0.9982113838195801}"
357860,"{'label': 'not sexist', 'score': 0.9993182420730591}"
352605,"{'label': 'not sexist', 'score': 0.9982216954231262}"
81879,"{'label': 'not sexist', 'score': 0.9987280964851379}"
21708,"{'label': 'not sexist', 'score': 0.7108020186424255}"
47099,"{'label': 'not sexist', 'score': 0.9994169473648071}"
113268,"{'label': 'not sexist', 'score': 0.9990672469139099}"
219619,"{'label': 'not sexist', 'score': 0.999258816242218}"
120765,"{'label': 'not sexist', 'score': 0.9993651509284973}"
327229,"{'label': 'not sexist', 'score': 0.9976934790611267}"
223563,"{'label': 'not sexist', 'score': 0.9987599849700928}"
214861,"{'label': 'not sexist', 'score': 0.9973242282867432}"
58137,"{'label': 'not sexist', 'score': 0.9995924830436707}"
279251,"{'label': 'not sexist', 'score': 0.998768150806427}"
226577,"{'label': 'not sexist', 'score': 0.9993543028831482}"
261501,"{'label': 'not sexist', 'score': 0.9990125894546509}"
116367,
71073,"{'label': 'not sexist', 'score': 0.9994173049926758}"
205431,"{'label': 'not sexist', 'score': 0.9984052777290344}"
37100,"{'label': 'not sexist', 'score': 0.9988994598388672}"
350856,"{'label': 'not sexist', 'score': 0.9966622591018677}"
326616,"{'label': 'not sexist', 'score': 0.9992914199829102}"
245153,"{'label': 'not sexist', 'score': 0.999017596244812}"
88636,"{'label': 'not sexist', 'score': 0.9989321827888489}"
113282,"{'label': 'not sexist', 'score': 0.9994544386863708}"
210562,"{'label': 'not sexist', 'score': 0.9985802173614502}"
157769,"{'label': 'not sexist', 'score': 0.9975646734237671}"
228931,"{'label': 'not sexist', 'score': 0.998902440071106}"
327035,"{'label': 'not sexist', 'score': 0.9988861680030823}"
170777,"{'label': 'not sexist', 'score': 0.9990168809890747}"
236141,"{'label': 'not sexist', 'score': 0.9990787506103516}"
236843,"{'label': 'not sexist', 'score': 0.9992185831069946}"
290735,"{'label': 'not sexist', 'score': 0.9989398121833801}"
119986,"{'label': 'not sexist', 'score': 0.9991576671600342}"
216582,"{'label': 'not sexist', 'score': 0.9995856881141663}"
248546,"{'label': 'not sexist', 'score': 0.9986806511878967}"
345964,"{'label': 'not sexist', 'score': 0.9989609718322754}"
226972,"{'label': 'not sexist', 'score': 0.999201238155365}"
141521,"{'label': 'not sexist', 'score': 0.9992313385009766}"
224160,"{'label': 'not sexist', 'score': 0.9982094764709473}"
114975,"{'label': 'not sexist', 'score': 0.9992238283157349}"
174363,"{'label': 'not sexist', 'score': 0.998264729976654}"
27271,"{'label': 'not sexist', 'score': 0.9982123374938965}"
131950,"{'label': 'not sexist', 'score': 0.9988730549812317}"
224354,"{'label': 'not sexist', 'score': 0.9990382194519043}"
334672,"{'label': 'not sexist', 'score': 0.9993450045585632}"
19928,"{'label': 'not sexist', 'score': 0.9985692501068115}"
270858,"{'label': 'not sexist', 'score': 0.9992691874504089}"
213429,"{'label': 'not sexist', 'score': 0.9993172883987427}"
56263,"{'label': 'not sexist', 'score': 0.9979726672172546}"
118893,"{'label': 'not sexist', 'score': 0.9989904761314392}"
206399,"{'label': 'not sexist', 'score': 0.9988251328468323}"
47930,"{'label': 'not sexist', 'score': 0.9991225600242615}"
75137,"{'label': 'not sexist', 'score': 0.9994065761566162}"
321360,"{'label': 'not sexist', 'score': 0.993337869644165}"
147962,"{'label': 'not sexist', 'score': 0.9988614320755005}"
92002,"{'label': 'not sexist', 'score': 0.9991757273674011}"
159833,"{'label': 'not sexist', 'score': 0.9985007047653198}"
24485,"{'label': 'not sexist', 'score': 0.9990561604499817}"
193888,"{'label': 'not sexist', 'score': 0.9933550357818604}"
41275,"{'label': 'not sexist', 'score': 0.999125063419342}"
321531,"{'label': 'not sexist', 'score': 0.9988952279090881}"
258380,"{'label': 'not sexist', 'score': 0.9984582662582397}"
199044,"{'label': 'not sexist', 'score': 0.9994707703590393}"
128165,"{'label': 'not sexist', 'score': 0.9991212487220764}"
159427,"{'label': 'not sexist', 'score': 0.9989043474197388}"
251504,"{'label': 'not sexist', 'score': 0.9985982775688171}"
216196,"{'label': 'not sexist', 'score': 0.9993509650230408}"
47827,"{'label': 'not sexist', 'score': 0.9993407130241394}"
293373,"{'label': 'not sexist', 'score': 0.9992491602897644}"
217502,"{'label': 'not sexist', 'score': 0.9983288645744324}"
355652,"{'label': 'not sexist', 'score': 0.9974374771118164}"
213065,"{'label': 'not sexist', 'score': 0.9988320469856262}"
113059,"{'label': 'not sexist', 'score': 0.9975093603134155}"
223135,"{'label': 'not sexist', 'score': 0.9988452196121216}"
29694,"{'label': 'not sexist', 'score': 0.9994532465934753}"
5120,"{'label': 'not sexist', 'score': 0.9991905093193054}"
18716,"{'label': 'not sexist', 'score': 0.9986571073532104}"
17381,"{'label': 'not sexist', 'score': 0.9991890788078308}"
238849,"{'label': 'not sexist', 'score': 0.9992571473121643}"
354702,"{'label': 'not sexist', 'score': 0.9988008737564087}"
65837,"{'label': 'not sexist', 'score': 0.9994826316833496}"
75833,"{'label': 'not sexist', 'score': 0.9992461204528809}"
9214,"{'label': 'not sexist', 'score': 0.998625636100769}"
29392,"{'label': 'not sexist', 'score': 0.9993458390235901}"
184416,"{'label': 'not sexist', 'score': 0.9986227750778198}"
57628,"{'label': 'sexist', 'score': 0.9980429410934448}"
139343,"{'label': 'not sexist', 'score': 0.9981905817985535}"
309382,"{'label': 'not sexist', 'score': 0.9987867474555969}"
258575,"{'label': 'not sexist', 'score': 0.9988388419151306}"
84919,"{'label': 'not sexist', 'score': 0.9984935522079468}"
285022,"{'label': 'not sexist', 'score': 0.9986807703971863}"
269154,"{'label': 'not sexist', 'score': 0.9981856942176819}"
132471,"{'label': 'not sexist', 'score': 0.9989619255065918}"
30978,"{'label': 'not sexist', 'score': 0.9992161989212036}"
198287,"{'label': 'not sexist', 'score': 0.999097466468811}"
237136,"{'label': 'not sexist', 'score': 0.9988195300102234}"
167668,"{'label': 'not sexist', 'score': 0.9993332028388977}"
163907,"{'label': 'not sexist', 'score': 0.9995121955871582}"
250017,"{'label': 'not sexist', 'score': 0.9994051456451416}"
193415,"{'label': 'not sexist', 'score': 0.9991466999053955}"
127007,"{'label': 'not sexist', 'score': 0.9988616704940796}"
237612,"{'label': 'not sexist', 'score': 0.998690664768219}"
333353,"{'label': 'not sexist', 'score': 0.9991231560707092}"
145305,"{'label': 'not sexist', 'score': 0.9990677237510681}"
263511,"{'label': 'not sexist', 'score': 0.9987571239471436}"
239140,"{'label': 'not sexist', 'score': 0.9988692402839661}"
187583,"{'label': 'not sexist', 'score': 0.9991152882575989}"
168008,"{'label': 'not sexist', 'score': 0.9994705319404602}"
345548,"{'label': 'not sexist', 'score': 0.9995771050453186}"
123026,"{'label': 'not sexist', 'score': 0.9989540576934814}"
256490,"{'label': 'not sexist', 'score': 0.9988753199577332}"
287116,"{'label': 'not sexist', 'score': 0.9992049336433411}"
311082,"{'label': 'not sexist', 'score': 0.9990814924240112}"
210558,"{'label': 'not sexist', 'score': 0.9987917542457581}"
332554,"{'label': 'not sexist', 'score': 0.9989228844642639}"
127087,"{'label': 'not sexist', 'score': 0.9989161491394043}"
192679,"{'label': 'not sexist', 'score': 0.9985542893409729}"
229716,"{'label': 'not sexist', 'score': 0.9995334148406982}"
201429,"{'label': 'not sexist', 'score': 0.999184787273407}"
298881,"{'label': 'not sexist', 'score': 0.9977523684501648}"
233767,"{'label': 'not sexist', 'score': 0.9993422627449036}"
254466,"{'label': 'not sexist', 'score': 0.9993365406990051}"
115735,"{'label': 'not sexist', 'score': 0.9928092956542969}"
291380,"{'label': 'not sexist', 'score': 0.9992683529853821}"
288843,"{'label': 'not sexist', 'score': 0.9986215829849243}"
79909,"{'label': 'not sexist', 'score': 0.9991323351860046}"
330182,"{'label': 'not sexist', 'score': 0.9985530972480774}"
212150,"{'label': 'not sexist', 'score': 0.9987620115280151}"
26941,"{'label': 'not sexist', 'score': 0.9976825714111328}"
92959,"{'label': 'not sexist', 'score': 0.9991217255592346}"
228328,"{'label': 'not sexist', 'score': 0.99946528673172}"
111639,"{'label': 'not sexist', 'score': 0.7262364625930786}"
28978,"{'label': 'not sexist', 'score': 0.9987713694572449}"
23133,"{'label': 'not sexist', 'score': 0.9983561635017395}"
180196,"{'label': 'not sexist', 'score': 0.9994044303894043}"
613,"{'label': 'not sexist', 'score': 0.9984242916107178}"
48601,"{'label': 'not sexist', 'score': 0.9988858103752136}"
356637,"{'label': 'not sexist', 'score': 0.9992225170135498}"
333300,"{'label': 'not sexist', 'score': 0.9988183379173279}"
150558,"{'label': 'not sexist', 'score': 0.9986762404441833}"
120537,"{'label': 'not sexist', 'score': 0.9991825222969055}"
194585,"{'label': 'not sexist', 'score': 0.999038577079773}"
81907,"{'label': 'sexist', 'score': 0.9956195950508118}"
114862,"{'label': 'not sexist', 'score': 0.9984038472175598}"
6005,"{'label': 'not sexist', 'score': 0.9992433786392212}"
304844,"{'label': 'not sexist', 'score': 0.9990068078041077}"
328142,"{'label': 'not sexist', 'score': 0.9989713430404663}"
190082,"{'label': 'not sexist', 'score': 0.9990513920783997}"
35032,"{'label': 'not sexist', 'score': 0.9991568326950073}"
200569,"{'label': 'not sexist', 'score': 0.9993239641189575}"
86244,"{'label': 'not sexist', 'score': 0.9995242357254028}"
317848,"{'label': 'not sexist', 'score': 0.9994995594024658}"
61708,"{'label': 'not sexist', 'score': 0.9993630051612854}"
277088,"{'label': 'not sexist', 'score': 0.9686812162399292}"
303862,"{'label': 'not sexist', 'score': 0.9991822838783264}"
312740,"{'label': 'not sexist', 'score': 0.9992464780807495}"
264526,"{'label': 'not sexist', 'score': 0.9962116479873657}"
163299,"{'label': 'not sexist', 'score': 0.9991601705551147}"
137970,"{'label': 'not sexist', 'score': 0.9992431402206421}"
248874,"{'label': 'not sexist', 'score': 0.999228835105896}"
77823,"{'label': 'not sexist', 'score': 0.9992077946662903}"
209572,"{'label': 'not sexist', 'score': 0.9979264736175537}"
204266,"{'label': 'not sexist', 'score': 0.9986333250999451}"
31160,"{'label': 'not sexist', 'score': 0.999478280544281}"
136644,"{'label': 'not sexist', 'score': 0.9990567564964294}"
214128,"{'label': 'not sexist', 'score': 0.9993333220481873}"
230057,"{'label': 'not sexist', 'score': 0.9975181818008423}"
349244,"{'label': 'not sexist', 'score': 0.9988784193992615}"
328912,"{'label': 'not sexist', 'score': 0.998083233833313}"
115266,"{'label': 'not sexist', 'score': 0.9988701939582825}"
39551,"{'label': 'not sexist', 'score': 0.9989965558052063}"
316006,"{'label': 'not sexist', 'score': 0.9988270401954651}"
